crop_name,amount_usd,amount_tzs,trading_hub,recorded_date
MAIZE,40.71,105846.00,Dar Es Salaam Wholesale,2023-08-14
MAIZE,38.72,100672.00,Mwanza Central Hub,2023-08-14
MAIZE,41.87,108862.00,Arusha North Hub,2023-08-14
MAIZE,39.88,103688.00,Dodoma Wholesale Hub,2023-08-14
MAIZE,37.90,98540.00,Mbeya Border Market,2023-08-14
MAIZE,40.26,104676.00,Tanga Coastal Exchange,2023-08-14
MAIZE,37.09,96434.00,Tabora Grain Yard,2023-08-14
MAIZE,41.43,107718.00,Kigoma Lake Hub,2023-08-14
RICE,57.63,149838.00,Dar Es Salaam Wholesale,2023-08-14
RICE,54.87,142662.00,Mwanza Central Hub,2023-08-14
RICE,59.39,154414.00,Arusha North Hub,2023-08-14
RICE,56.63,147238.00,Dodoma Wholesale Hub,2023-08-14
RICE,53.86,140036.00,Mbeya Border Market,2023-08-14
RICE,57.27,148902.00,Tanga Coastal Exchange,2023-08-14
RICE,52.81,137306.00,Tabora Grain Yard,2023-08-14
RICE,59.02,153452.00,Kigoma Lake Hub,2023-08-14
BEANS,59.98,155948.00,Dar Es Salaam Wholesale,2023-08-14
BEANS,57.00,148200.00,Mwanza Central Hub,2023-08-14
BEANS,61.59,160134.00,Arusha North Hub,2023-08-14
BEANS,58.62,152412.00,Dodoma Wholesale Hub,2023-08-14
BEANS,55.65,144690.00,Mbeya Border Market,2023-08-14
BEANS,59.06,153556.00,Tanga Coastal Exchange,2023-08-14
BEANS,54.37,141362.00,Tabora Grain Yard,2023-08-14
BEANS,60.67,157742.00,Kigoma Lake Hub,2023-08-14
WHEAT,39.63,103038.00,Dar Es Salaam Wholesale,2023-08-14
WHEAT,37.76,98176.00,Mwanza Central Hub,2023-08-14
WHEAT,40.90,106340.00,Arusha North Hub,2023-08-14
WHEAT,39.02,101452.00,Dodoma Wholesale Hub,2023-08-14
WHEAT,37.14,96564.00,Mbeya Border Market,2023-08-14
WHEAT,39.52,102752.00,Tanga Coastal Exchange,2023-08-14
WHEAT,36.47,94822.00,Tabora Grain Yard,2023-08-14
WHEAT,40.79,106054.00,Kigoma Lake Hub,2023-08-14
SORGHUM,34.72,90272.00,Dar Es Salaam Wholesale,2023-08-14
SORGHUM,32.99,85774.00,Mwanza Central Hub,2023-08-14
SORGHUM,35.63,92638.00,Arusha North Hub,2023-08-14
SORGHUM,33.89,88114.00,Dodoma Wholesale Hub,2023-08-14
SORGHUM,32.17,83642.00,Mbeya Border Market,2023-08-14
SORGHUM,34.13,88738.00,Tanga Coastal Exchange,2023-08-14
SORGHUM,31.40,81640.00,Tabora Grain Yard,2023-08-14
SORGHUM,35.02,91052.00,Kigoma Lake Hub,2023-08-14
CASSAVA,25.99,67574.00,Dar Es Salaam Wholesale,2023-08-14
CASSAVA,24.77,64402.00,Mwanza Central Hub,2023-08-14
CASSAVA,26.83,69758.00,Arusha North Hub,2023-08-14
CASSAVA,25.60,66560.00,Dodoma Wholesale Hub,2023-08-14
CASSAVA,24.37,63362.00,Mbeya Border Market,2023-08-14
CASSAVA,25.94,67444.00,Tanga Coastal Exchange,2023-08-14
CASSAVA,23.94,62244.00,Tabora Grain Yard,2023-08-14
CASSAVA,26.78,69628.00,Kigoma Lake Hub,2023-08-14
POTATO,31.20,81120.00,Dar Es Salaam Wholesale,2023-08-14
POTATO,29.64,77064.00,Mwanza Central Hub,2023-08-14
POTATO,32.01,83226.00,Arusha North Hub,2023-08-14
POTATO,30.46,79196.00,Dodoma Wholesale Hub,2023-08-14
POTATO,28.91,75166.00,Mbeya Border Market,2023-08-14
POTATO,30.67,79742.00,Tanga Coastal Exchange,2023-08-14
POTATO,28.22,73372.00,Tabora Grain Yard,2023-08-14
POTATO,31.48,81848.00,Kigoma Lake Hub,2023-08-14
GROUNDNUT,75.24,195624.00,Dar Es Salaam Wholesale,2023-08-14
GROUNDNUT,71.67,186342.00,Mwanza Central Hub,2023-08-14
GROUNDNUT,77.61,201786.00,Arusha North Hub,2023-08-14
GROUNDNUT,74.04,192504.00,Dodoma Wholesale Hub,2023-08-14
GROUNDNUT,70.46,183196.00,Mbeya Border Market,2023-08-14
GROUNDNUT,74.96,194896.00,Tanga Coastal Exchange,2023-08-14
GROUNDNUT,69.16,179816.00,Tabora Grain Yard,2023-08-14
GROUNDNUT,77.36,201136.00,Kigoma Lake Hub,2023-08-14
SUNFLOWER,60.46,157196.00,Dar Es Salaam Wholesale,2023-08-14
SUNFLOWER,57.48,149448.00,Mwanza Central Hub,2023-08-14
SUNFLOWER,62.13,161538.00,Arusha North Hub,2023-08-14
SUNFLOWER,59.15,153790.00,Dodoma Wholesale Hub,2023-08-14
SUNFLOWER,56.18,146068.00,Mbeya Border Market,2023-08-14
SUNFLOWER,59.64,155064.00,Tanga Coastal Exchange,2023-08-14
SUNFLOWER,54.92,142792.00,Tabora Grain Yard,2023-08-14
SUNFLOWER,61.29,159354.00,Kigoma Lake Hub,2023-08-14
COFFEE,78.65,204490.00,Dar Es Salaam Wholesale,2023-08-14
COFFEE,74.85,194610.00,Mwanza Central Hub,2023-08-14
COFFEE,80.99,210574.00,Arusha North Hub,2023-08-14
COFFEE,77.19,200694.00,Dodoma Wholesale Hub,2023-08-14
COFFEE,73.40,190840.00,Mbeya Border Market,2023-08-14
COFFEE,78.02,202852.00,Tanga Coastal Exchange,2023-08-14
COFFEE,71.93,187018.00,Tabora Grain Yard,2023-08-14
COFFEE,80.39,209014.00,Kigoma Lake Hub,2023-08-14
