date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2006-01-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,38464.29,32.46
2006-01-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,63227.27,53.36
2006-01-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,80714.29,68.11
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,38742.86,32.69
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,64545.45,54.47
2006-01-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,80000,67.51
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36107.14,30.47
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,60500,51.05
2006-01-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,76428.57,64.5
2006-01-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,24444.44,20.63
2006-01-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,58708.33,49.54
2006-01-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,48722.22,41.12
2006-01-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,27693.75,23.37
2006-01-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,59045.45,49.83
2006-01-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,51625,43.57
2006-01-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31210,26.34
2006-01-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,59807.69,50.47
2006-01-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,56650,47.81
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,29050,24.51
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,61850,52.19
2006-01-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,65500,55.27
2006-01-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,37250,31.43
2006-01-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,65916.67,55.63
2006-01-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,68250,57.59
2006-01-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36562.5,30.85
2006-01-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,69772.73,58.88
2006-01-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,55281.25,46.65
2006-01-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31605,26.67
2006-01-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,60500,51.05
2006-01-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,59000,49.79
2006-01-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,22950,19.37
2006-01-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,58681.82,49.52
2006-01-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,48250,40.72
2006-01-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,33033.33,27.88
2006-01-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,65055.56,54.9
2006-01-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,67384.62,56.86
2006-01-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,72250,60.97
2006-01-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,35150,29.66
2006-01-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,56818.18,47.95
2006-01-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,54150,45.7
2006-01-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,25750,21.73
2006-01-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,59500,50.21
2006-01-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,61025,51.5
2006-01-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,60555.56,51.1
2006-01-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,52833.33,44.59
2006-01-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,33750,28.48
2006-01-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,53727.27,45.34
2006-01-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,47150,39.79
2006-01-15,Singida,Singida Urban,Singida,94,-4.82,34.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,66136.36,55.81
2006-01-15,Singida,Singida Urban,Singida,94,-4.82,34.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,59950,50.59
2006-01-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,34400,29.03
2006-01-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,53772.73,45.38
2006-01-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,67600,57.05
2006-01-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,32295.45,27.25
2006-01-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,61454.55,51.86
2006-01-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,63450,53.54
2006-02-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,34833.33,29.4
2006-02-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,72727.27,61.37
2006-02-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,65083.33,54.92
2006-02-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31375,26.48
2006-02-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,77272.73,65.21
2006-02-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,68208.33,57.56
2006-02-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36541.67,30.84
2006-02-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,65250,55.06
2006-02-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,55833.33,47.12
2006-02-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,26111.11,22.03
2006-02-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,77000,64.98
2006-02-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,71111.11,60.01
2006-02-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,32025,27.03
2006-02-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,64055.56,54.06
2006-02-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,48625,41.03
2006-02-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36387.27,30.71
2006-02-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,73863.64,62.33
2006-02-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,58409.09,49.29
2006-02-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,28818.18,24.32
2006-02-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,70363.64,59.38
2006-02-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,72954.55,61.57
2006-02-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,37181.82,31.38
2006-02-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,76937.5,64.93
2006-02-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,72454.55,61.14
2006-02-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,32375,27.32
2006-02-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,72272.73,60.99
2006-02-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,48333.33,40.79
2006-02-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31600,26.67
2006-02-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,66625,56.22
2006-02-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,67500,56.96
2006-02-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,25386.36,21.42
2006-02-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,65181.82,55.01
2006-02-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,54000,45.57
2006-02-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,32625,27.53
2006-02-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,68000,57.38
2006-02-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,79681.82,67.24
2006-02-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,73181.82,61.76
2006-02-15,Mtwara,Mtwara Urban,Mtwara DC,91,-10.27,40.18,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,74000,62.45
2006-02-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31545.45,26.62
2006-02-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,66363.64,56
2006-02-15,Mwanza,Nyamagana,Mwanza,92,-2.52,32.9,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,64954.55,54.81
2006-02-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,29350,24.77
2006-02-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,75227.27,63.48
2006-02-15,Rukwa,Sumbawanga Urban,Sumbawanga,100,-7.97,31.62,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,54818.18,46.26
2006-02-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,66136.36,55.81
2006-02-15,Ruvuma,Songea Urban,Songea,95,-10.68,35.65,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,60863.64,51.36
2006-02-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,33954.55,28.65
2006-02-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,56954.55,48.06
2006-02-15,Shinyanga,Shinyanga Urban,Shinyanga,93,-3.67,33.43,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,60363.64,50.94
2006-02-15,Singida,Singida Urban,Singida,94,-4.82,34.75,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31409.09,26.51
2006-02-15,Singida,Singida Urban,Singida,94,-4.82,34.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,69454.55,58.61
2006-02-15,Singida,Singida Urban,Singida,94,-4.82,34.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,64200,54.18
2006-02-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,34886.36,29.44
2006-02-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,61318.18,51.75
2006-02-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,65318.18,55.12
