market_id,market,countryiso3,admin1,admin2,latitude,longitude
80,Arusha (urban),TZA,Arusha,Arusha Urban,-3.37,36.68
81,Babati,TZA,Manyara,Babati Urban,-4.22,35.75
82,Bukoba,TZA,Kagera,Bukoba Urban,-1.33,31.81
83,Dar Es Salaam,TZA,Dar-es-salaam,Ilala,-6.8,39.28
84,Dodoma (Majengo),TZA,Dodoma,Mpwapwa,-7.29,36.34
85,Iringa Urban,TZA,Iringa,Iringa Urban,-7.77,35.7
86,Kigoma,TZA,Kigoma,Kigoma Municipal-Ujiji,-4.88,29.63
87,Lindi,TZA,Lindi,Lindi Urban,-10,39.72
88,Mwanjelwa,TZA,Mbeya,Mbeya Urban,-8.9,33.45
89,Morogoro,TZA,Morogoro,Morogoro Urban,-6.82,37.67
90,Moshi,TZA,Kilimanjaro,Moshi Municipal,-3.35,37.33
91,Mtwara DC,TZA,Mtwara,Mtwara Urban,-10.27,40.18
92,Mwanza,TZA,Mwanza,Nyamagana,-2.52,32.9
93,Shinyanga,TZA,Shinyanga,Shinyanga Urban,-3.67,33.43
94,Singida,TZA,Singida,Singida Urban,-4.82,34.75
95,Songea,TZA,Ruvuma,Songea Urban,-10.68,35.65
96,Tabora,TZA,Tabora,Tabora Urban,-5.02,32.8
97,Tanga / Mgandini,TZA,Tanga,Tanga,-5.07,39.1
99,Musoma,TZA,Mara,Musoma Municipal,-1.5,33.8
100,Sumbawanga,TZA,Rukwa,Sumbawanga Urban,-7.97,31.62
1798,Geita,TZA,Geita,Geita,-2.89,32.23
1800,Njombe,TZA,Njombe,Wanging'ombe,-8.91,34.69
1801,Mpanda,TZA,Katavi,Mpanda Urban,-6.35,31.07
2799,Ilala (Buguruni),TZA,Dar-es-salaam,Ilala,-6.84,39.25
2800,Kinondoni (Tandale),TZA,Dar-es-salaam,Kinondoni,-6.8,39.24
2801,Temeke (Tandika),TZA,Dar-es-salaam,Temeke,-6.87,39.26
2820,Kibaigwa,TZA,Dodoma,Kongwa,-6.08,36.65
3797,Manyanya,TZA,Dar-es-salaam,Kinondoni,-6.79,39.26
3798,Mwananyamala,TZA,Dar-es-salaam,Kinondoni,-6.79,39.25
3799,Tegeta Nyuki,TZA,Dar-es-salaam,Kinondoni,-6.66,39.18
3800,Ilala Boma,TZA,Dar-es-salaam,Ilala,-6.83,39.26
3801,Kariakoo,TZA,Dar-es-salaam,Ilala,-6.82,39.28
3802,Mabibo,TZA,Dar-es-salaam,Kinondoni,-6.8,39.22
3803,Mawasiliano,TZA,Dar-es-salaam,Kinondoni,-6.79,39.22
3804,Stereo,TZA,Dar-es-salaam,Temeke,-6.86,39.26
3807,Buhongwa,TZA,Mwanza,Nyamagana,-2.63,32.95
3808,Mbugani,TZA,Mwanza,Nyamagana,-2.52,32.91
3809,Mkuyuni,TZA,Mwanza,Nyamagana,-2.56,32.91
3810,Nyegezi,TZA,Mwanza,Nyamagana,-2.59,32.92
3811,Mirongo,TZA,Mwanza,Nyamagana,-2.52,32.91
3812,Kirumba,TZA,Mwanza,Ilemela,-2.5,32.9
3813,Kitangiri,TZA,Mwanza,Ilemela,-2.49,32.9
3814,Ibungiro,TZA,Mwanza,Ilemela,-2.49,32.92
3815,Buzuruga,TZA,Mwanza,Ilemela,-2.53,32.94
3816,Sabasaba,TZA,Mwanza,Ilemela,-2.47,32.92
3817,Kwa Mabata,TZA,Mjini Magharibi,Mjini,-6.17,39.23
3818,Mombasa Kwa Mchina,TZA,Mjini Magharibi,Mjini,-6.19,39.22
3819,Mwanakwerekwe,TZA,Mjini Magharibi,Mjini,-6.18,39.22
3820,Darajani,TZA,Mjini Magharibi,Mjini,-6.16,39.19
3821,Jumbi,TZA,Mjini Magharibi,Magharibi,-6.2,39.28
3822,Ngalawa,TZA,Mjini Magharibi,Magharibi,-6.08,39.21
3823,Saa Teni,TZA,Mjini Magharibi,Mjini,-6.15,39.21
3824,Kwa Haji Tumbo,TZA,Mjini Magharibi,Mjini,-6.16,39.21
3825,Mkokotoni,TZA,Kaskazini Unguja,Kaskazini A,-5.87,39.26
4538,Arusha Region,TZA,Arusha,Ngorongoro,-2.97,35.92
4539,Dar es Salaam Region,TZA,Dar-es-salaam,Temeke,-6.89,39.26
4540,Dodoma Region,TZA,Dodoma,Dodoma Urban,-5.93,35.92
4541,Geita Region,TZA,Geita,Mbogwe,-3.3,31.9
4542,Iringa Region,TZA,Iringa,Iringa Rural,-7.8,35.48
4543,Kagera Region,TZA,Kagera,Muleba,-1.88,31.45
4544,Katavi Region,TZA,Katavi,Mlele,-6.42,31.32
